Genome.ID,Diseases.Infection.Wound,Host,Isolation,Country,Continent
637000218,Wound,Human,Skin,?,Unknown
638341158,Cystic Fibrosis,Human,Oral/Airways,USA,North America
638341159,Cystic Fibrosis,Human,Unknown,United Kingdom,Europe
638341161,Cystic Fibrosis,Human,Unknown,Unknown,Unknown
639279310,Infection - Other,Human,Unknown,USA,North America
643348568,Cystic Fibrosis,Human,Oral/Airways,United Kingdom,Europe
647000299,Infection - Other,Human,Unknown,Unknown,Unknown
649989990,Eye/Ear Infection,Human,Eye,United Kingdom,Europe
2501799902,Wound,Human,Skin,,Unknown
2501846300,Cystic Fibrosis,Human,Unknown,Denmark?,Europe
2502790010,Wound,Human,Skin,?,Unknown
2505313002,Cystic Fibrosis,Human,Unknown,USA,North America
2505313005,Unknown,Human,Clinical - Unknown Further Info,USA,North America
2507262019,Not Applicable,Environmental (Plant/Fruit/Terrestrial/Other),Soil,,Unknown
2507262021,Respiratory Issues/Infection,Human,Oral/Airways,Hungary,Europe
2507262022,Unknown,Human,Unknown,Italy,Europe
2507262023,Respiratory Issues/Infection,Human,Oral/Airways,Brazil,South America
2507262024,Circulatory System/Blood Disease/Issues,Human,Blood,Canada,North America
2510461024,Not Applicable,Environmental (Plant/Fruit/Terrestrial/Other),Soil,,Unknown
2510461025,Wound,Human,Skin,Sweden,Europe
2510461026,Respiratory Issues/Infection,Human,Oral/Airways,Hungary,Europe
2510461027,Unknown,Human,Clinical - Unknown Further Info,Italy,Europe
2510461028,Respiratory Issues/Infection,Human,Oral/Airways,Brazil,South America
2510461029,Unknown,Human,Unknown,USA,North America
2510461030,Not Applicable,Aquatic,Water,Puerto Rico,North America
2510461031,Not Applicable,Other - Engineered/Serotype/Unknown,Unknown,?,Unknown
2510461032,Unknown,Human,Clinical - Unknown Further Info,USA,North America
2510461033,Not Applicable,Other - Engineered/Serotype/Unknown,Unknown,,Unknown
2510461034,Not Applicable,Animal,Skin,?,Unknown
2510461035,Circulatory System/Blood Disease/Issues,Human,Blood,Canada,North America
2510461036,Genitourinary system Infection/Issues,Human,Urogenital System,Canada,North America
2510917011,Not Applicable,Other - Engineered/Serotype/Unknown,Unknown,?,Unknown
2511231165,Genitourinary system Infection/Issues,Human,Urogenital System,Japan,Asia
2511231183,Not Applicable,Environmental (Plant/Fruit/Terrestrial/Other),Rice/Fruit/Plant,China,Asia
2513237054,Associated Infection,Environmental (Plant/Fruit/Terrestrial/Other),Rice/Fruit/Plant,USA,Unknown
2513237259,Gastrointestinal system,Human,Gastrointestinal system,,Unknown
2516493000,Cystic Fibrosis,Human,Oral/Airways,Canada,North America
2519103020,Genitourinary system Infection/Issues,Human,Blood,Italy,Europe
2519103093,Cystic Fibrosis,Human,Oral/Airways,Denmark,Europe
2519899785,Cystic Fibrosis,Human,Oral/Airways,Denmark,Europe
2524614738,Not Applicable,Aquatic,Water,USA,North America
2529292742,Cystic Fibrosis,Human,Oral/Airways,?,Unknown
2529292743,Cystic Fibrosis,Human,Oral/Airways,?,Unknown
2529293227,Anastomic Leakage,Animal,Rat/Mouse,USA,North America
2529293228,Anastomic Leakage,Animal,Rat/Mouse,USA,North America
2534681678,Associated Infection,Environmental (Plant/Fruit/Terrestrial/Other),Rice/Fruit/Plant,USA,North America
2534681679,Associated Infection,Aquatic,Water,Industrial wastewater,Unknown
2537561515,Respiratory Issues/Infection,Human,Oral/Airways,Australia,Unknown
2537562155,Associated Infection,Environmental (Plant/Fruit/Terrestrial/Other),Soil,?,Unknown
2540341042,Circulatory System/Blood Disease/Issues,Human,Blood,Spain,Europe
2540341118,Gastrointestinal system,Human,Gastrointestinal system,Taiwan,Asia
2541047093,Unknown,Human,Unknown,?,Unknown
2545824565,Not Applicable,Environmental (Plant/Fruit/Terrestrial/Other),Soil,China,Asia
2545824566,Not Applicable,Environmental (Plant/Fruit/Terrestrial/Other),Soil,China,Asia
2545824567,Not Applicable,Environmental (Plant/Fruit/Terrestrial/Other),Soil,India,Asia
2545824568,Unknown,Human,Unknown,China,Asia
2545824744,Not Applicable,Environmental (Plant/Fruit/Terrestrial/Other),Unknown,?,Unknown
2548876757,Cystic Fibrosis,Human,Unknown,Brazil,South America
2548876758,Wound,Human,Skin,USA,North America
2548877050,Not Applicable,Environmental (Plant/Fruit/Terrestrial/Other),Soil,China,Asia
2551306114,Not Applicable,Other - Engineered/Serotype/Unknown,Engineered,USA?,North America
2551306150,Respiratory Issues/Infection,Human,Oral/Airways,China,Asia
2551306212,Circulatory System/Blood Disease/Issues,Human,Blood,USA,North America
2554235218,Unknown,Human,Unknown,China,Asia
2554235224,Unknown,Human,Unknown,China,Asia
2554235471,Eye/Ear Infection,Human,Eye,USA,North America
2558309053,Not Applicable,Other - Engineered/Serotype/Unknown,Engineered,?,Unknown
2558309066,Respiratory Issues/Infection,Human,Oral/Airways,China,Asia
2558309079,Cystic Fibrosis,Human,Unknown,?,Unknown
2558309081,Cystic Fibrosis,Human,Unknown,United Kingdom,Europe
2558309082,Not Applicable,Environmental (Plant/Fruit/Terrestrial/Other),Soil,India,Asia
2558860267,Not Applicable,Environmental (Plant/Fruit/Terrestrial/Other),Rice/Fruit/Plant,Malaysia,Asia
2558860367,Wound,Human,Skin,,Unknown
2562617103,Respiratory Issues/Infection,Human,Oral/Airways,Portugal,Europe
2562617104,Respiratory Issues/Infection,Human,Oral/Airways,Portugal,Europe
2562617129,Circulatory System/Blood Disease/Issues,Human,Blood,India,Asia
2563366590,Cystic Fibrosis,Human,Unknown,Germany?,Europe
2563366717,Not Applicable,Environmental (Plant/Fruit/Terrestrial/Other),Industrial,Unknown,Unknown
2565956573,Cystic Fibrosis,Human,Oral/Airways,United Kingdom,Europe
2565956574,Cystic Fibrosis,Human,Oral/Airways,United Kingdom,Europe
2565956575,Cystic Fibrosis,Human,Oral/Airways,Canada,North America
2565956576,Cystic Fibrosis,Human,Oral/Airways,Canada,North America
2565956577,Cystic Fibrosis,Human,Oral/Airways,Canada,North America
2565956578,Cystic Fibrosis,Human,Oral/Airways,Canada,North America
2568526011,Respiratory Issues/Infection,Human,Oral/Airways,,Unknown
2568526052,Not Applicable,Environmental (Plant/Fruit/Terrestrial/Other),Soil,USA,North America
2568526079,Unknown,Human,Unknown,USA,North America
2568526153,Not Applicable,Environmental (Plant/Fruit/Terrestrial/Other),Unknown,?,Unknown
2568526219,Genitourinary system Infection/Issues,Human,Urogenital System,USA,North America
2568526231,Not Applicable,Environmental (Plant/Fruit/Terrestrial/Other),Unknown,Colombia ,South America
2568526245,Not Applicable,Aquatic,Water,USA,North America
2568526317,Genitourinary system Infection/Issues,Human,Urogenital System,USA,North America
2568526461,Not Applicable,Environmental (Plant/Fruit/Terrestrial/Other),Environmental,Venezuela,South America
2568526560,Not Applicable,Environmental (Plant/Fruit/Terrestrial/Other),Unknown,?,Unknown
2568526577,Respiratory Issues/Infection,Human,Oral/Airways,USA,North America
2568526595,Eye/Ear Infection,Human,Eye,USA,North America
2568526692,Eye/Ear Infection,Human,Unknown,USA,North America
2568526708,Wound,Human,Skin,USA,North America
2568526712,Cystic Fibrosis,Human,Unknown,USA,North America
2568526744,Associated Infection,Environmental (Plant/Fruit/Terrestrial/Other),Soil,India,Asia
2571042077,Eye/Ear Infection,Human,Eye,USA,North America
2571042171,Eye/Ear Infection,Human,Eye,USA,North America
2571042176,Not Applicable,Environmental (Plant/Fruit/Terrestrial/Other),Environmental,unknown,Unknown
2571042179,Eye/Ear Infection,Human,Eye,USA,North America
